title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label,lm_positive_count,lm_negative_count,lm_net_score
Great people! Great place to work!,5.0,2025-09-04,"The people here are genuinely smart, dynamic, and passionate. The collaborative environment is very different from the competition you normally see in a bull pen. You are truly supported in what you do. One of the quotes at Prologis is ""Fail fast"", this means that it is great to make mistakes as long as you learn from them. It is a great place to grow!","Prologis is a very global company, so you would probably be working on a project overseas at some point - it can be difficult across time zones and connecting with people you have never met in person.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The people here are genuinely smart, dynamic, and passionate. The collaborative environment is very different from the competition you normally see in a bull pen. You are truly supported in what you do. One of the quotes at Prologis is ""Fail fast"", this means that it is great to make mistakes as long as you learn from them. It is a great place to grow!",genuin collabor environ differ competit normal see bull truli support quot prolog fail fast mean great mistak long learn great place,"Prologis is a very global company, so you would probably be working on a project overseas at some point - it can be difficult across time zones and connecting with people you have never met in person.",prolog global probabl project oversea point difficult across zone connect never met,Great people! Great place to work!,great great place,0.23876026272773743,0.035568684339523315,0.7256710529327393,0.2031915783882141,neutral,0,1,-0.047619047619047616
Current Employee,5.0,2024-12-16,Great culture and benefits. Respectful and knowledgeable managers. Opportunities to further your career are available.,Collaboration between departments is necessary but needs to be improved. Company news communication,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great culture and benefits. Respectful and knowledgeable managers. Opportunities to further your career are available.,great cultur respect knowledg opportun career,Collaboration between departments is necessary but needs to be improved. Company news communication,collabor depart necessari need news commun,Current Employee,current,0.23187947273254395,0.011111830361187458,0.7570087313652039,0.22076764702796936,neutral,0,0,0.0
Company culture has changed,3.0,2025-01-13,Great office views and fun people to work with,"Company culture has changed negatively, lots of budget cuts and management is not transparent","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great office views and fun people to work with,great offic view fun,"Company culture has changed negatively, lots of budget cuts and management is not transparent",cultur chang lot budget cut manag transpar,Company culture has changed,cultur chang,0.1591498851776123,0.01478435005992651,0.8260657787322998,0.14436553418636322,neutral,0,0,0.0
THE BEST PLACE TO WORK..,5.0,2024-09-13,"Prologis is more than just a workplace; it feels like going to your own office, where your voice and opinions truly matter. As a global leader in logistics real estate, Prologis fosters a culture of innovation, diversity, and inclusion, ensuring that everyone can contribute meaningfully. The company’s commitment to sustainability and community involvement allows employees to make a positive impact. With strong career growth opportunities, a supportive environment, and a focus on work-life balance, Prologis is a place where you can bring your true self and thrive both personally and professionally.","If you work at Prologis, you'll be so spoiled, no other company will ever measure up! You'll wonder how you ever settled for anything less. 😄","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is more than just a workplace; it feels like going to your own office, where your voice and opinions truly matter. As a global leader in logistics real estate, Prologis fosters a culture of innovation, diversity, and inclusion, ensuring that everyone can contribute meaningfully. The company’s commitment to sustainability and community involvement allows employees to make a positive impact. With strong career growth opportunities, a supportive environment, and a focus on work-life balance, Prologis is a place where you can bring your true self and thrive both personally and professionally.",prolog workplac feel go voic opinion truli global leader logist real prolog foster cultur ensur everyon contribut commit sustain commun involv allow employe posit strong career growth support focu life prolog place bring true self thrive person,"If you work at Prologis, you'll be so spoiled, no other company will ever measure up! You'll wonder how you ever settled for anything less. 😄",ever measur wonder ever settl anyth,THE BEST PLACE TO WORK..,best place,0.264791876077652,0.011860973201692104,0.7233471274375916,0.2529309093952179,neutral,2,0,0.05405405405405406
Takes great care of employees,5.0,2024-09-05,"Lots of perks including great benefits, team building events, culture, etc","Since it is a global company, policies sometimes seem politically driven","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Lots of perks including great benefits, team building events, culture, etc",lot perk includ great team build etc,"Since it is a global company, policies sometimes seem politically driven",sinc global polici sometim seem polit driven,Takes great care of employees,take great care employe,0.8010784387588501,0.01219638530164957,0.1867251992225647,0.7888820767402649,positive,0,0,0.0
Great place to work,5.0,2025-10-31,Good people and culture here,It you don't perform you will struggle.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Good people and culture here,good cultur,It you don't perform you will struggle.,perform,Great place to work,great place,0.25698405504226685,0.012994949705898762,0.7300209999084473,0.24398910999298096,neutral,0,0,0.0
"A Phenomenal Place to Work: Prologis, Leading the Future of Logistics Real Estate",5.0,2024-10-07,"Working at Prologis is an incredible experience! The company’s forward-thinking leadership is truly inspiring, with a clear vision of transforming the logistics real estate industry. Management here doesn’t just support—they actively encourage innovation, and every day you feel like you're part of something that's reshaping the future. If you're looking for a company where innovation meets opportunity, with a supportive team that genuinely cares, Prologis is the place to be. I couldn’t be more proud to contribute to a company that's constantly evolving and always leading from the front!","Its not for an average 9-5'er, Its a very high performing team. You will be pushed to grow, think outside of the box, accept change and be a champion of it - a way maker!","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Working at Prologis is an incredible experience! The company’s forward-thinking leadership is truly inspiring, with a clear vision of transforming the logistics real estate industry. Management here doesn’t just support—they actively encourage innovation, and every day you feel like you're part of something that's reshaping the future. If you're looking for a company where innovation meets opportunity, with a supportive team that genuinely cares, Prologis is the place to be. I couldn’t be more proud to contribute to a company that's constantly evolving and always leading from the front!",prolog incred forward think leadership truli clear vision transform logist real estat manag support activ encourag everi day feel part someth reshap look innov meet support team genuin prolog place proud contribut constantli evolv alway lead,"Its not for an average 9-5'er, Its a very high performing team. You will be pushed to grow, think outside of the box, accept change and be a champion of it - a way maker!",averag high perform push think outsid accept chang champion way,"A Phenomenal Place to Work: Prologis, Leading the Future of Logistics Real Estate",phenomen place lead futur logist real estat,0.12073618173599243,0.020809175446629524,0.858454704284668,0.09992700815200806,neutral,0,0,0.0
Great Place to Work,5.0,2025-06-10,"Challenging work, collaborative environment, flexibility, talented team with shared vision for success. Management values employees and encourages innovation and efficiency, keeping us Ahead of What's Next.",Relatively high stress and pressure at times.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Challenging work, collaborative environment, flexibility, talented team with shared vision for success. Management values employees and encourages innovation and efficiency, keeping us Ahead of What's Next.",challeng collabor talent team share vision manag valu employe encourag innov keep us ahead,Relatively high stress and pressure at times.,rel high stress pressur,Great Place to Work,great place,0.17241713404655457,0.014520238153636456,0.8130626678466797,0.15789689123630524,neutral,0,0,0.0
Ahead of the pack,5.0,2024-09-04,"The C-level leadership, including our CEO, CTO, CFO, CLO, and President, are visionary and supportive, cultivating a culture of excellence. As a founder-owned and managed company, Prologis remains deeply aligned with its core values. There is also a strong culture of giving back to our communities, which adds to the sense of purpose and fulfillment. As a global leader in real estate, Prologis is at the forefront of technology, making it an exciting place to work and grow. Highly recommend!","Prologis is a Fortune 100 company with 2,500+ employees, so to thrive here, you need to be dedicated and think like a service owner. The environment is fast-paced and demanding, which can be challenging if you’re not ready to take ownership and drive results.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The C-level leadership, including our CEO, CTO, CFO, CLO, and President, are visionary and supportive, cultivating a culture of excellence. As a founder-owned and managed company, Prologis remains deeply aligned with its core values. There is also a strong culture of giving back to our communities, which adds to the sense of purpose and fulfillment. As a global leader in real estate, Prologis is at the forefront of technology, making it an exciting place to work and grow. Highly recommend!",level includ visionari cultiv cultur founder own manag prolog remain deepli align core strong cultur give back add sens purpos global leader real prolog forefront make excit place highli,"Prologis is a Fortune 100 company with 2,500+ employees, so to thrive here, you need to be dedicated and think like a service owner. The environment is fast-paced and demanding, which can be challenging if you’re not ready to take ownership and drive results.",prolog fortun thrive need dedic think servic environ fast pace challeng readi take ownership drive,Ahead of the pack,ahead pack,0.6324418187141418,0.016332421451807022,0.3512258231639862,0.6161093711853027,positive,1,0,0.034482758620689655
"Prologis is an innovative, rock solid place to work",5.0,2025-03-25,"We're constantly trying new things, pushing boundaries, learning new technologies, and looking for ways to automate. Additionally, the company is well positioned for the coming years. They also have a great working environment, nice people who are also highly intelligent, and excellent benefits.","The workload gets heavy at times. It's difficult to expand and grow teams at times, especially with local resources.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"We're constantly trying new things, pushing boundaries, learning new technologies, and looking for ways to automate. Additionally, the company is well positioned for the coming years. They also have a great working environment, nice people who are also highly intelligent, and excellent benefits.",constantli tri new push learn new look way well posit come great nice highli excel,"The workload gets heavy at times. It's difficult to expand and grow teams at times, especially with local resources.",workload get heavi difficult expand grow team especi local,"Prologis is an innovative, rock solid place to work",prolog rock solid place,0.17049038410186768,0.016940779983997345,0.8125688433647156,0.15354961156845093,neutral,0,0,0.0
